Player,Team,Mat,Inns,NO,Runs,HS,Hundereds,Fifties,Avg,Strike Rate,Fours,Sixes
"Sudharsan, B S",Gujarat Titans,15,15,1,759,108*,1,6,54.21,156.17,88,21
"Yadav, S A",Mumbai Indians,16,16,5,717,73*,0,5,65.18,167.91,69,38
"Kohli, V",Royal Challengers Bengaluru,15,15,3,657,73*,0,8,54.75,144.71,66,19
"Gill, S",Gujarat Titans,15,15,2,650,93*,0,6,50.00,155.87,62,24
"Marsh, M R",Lucknow Super Giants,13,13,0,627,117,1,6,48.23,163.70,56,37
"Iyer, S S",Punjab Kings,17,17,5,604,97*,0,6,50.33,175.07,43,39
"Jaiswal, Y B K",Rajasthan Royals,14,14,1,559,75,0,6,43.00,159.71,60,28
"Singh, Prabhsimran",Punjab Kings,17,17,0,549,91,0,4,32.29,160.52,56,30
"Rahul, K L",Delhi Capitals,13,13,3,539,112*,1,3,53.90,149.72,52,21
"Buttler, J C",Gujarat Titans,14,13,4,538,97*,0,5,59.78,163.03,52,24
"Pooran, N",Lucknow Super Giants,14,14,2,524,87*,0,5,43.67,196.25,45,40
"Klaasen, H",Sunrisers Hyderabad,14,13,2,487,105*,1,1,44.27,172.69,42,25
"Arya, P",Punjab Kings,17,17,0,475,103,1,2,27.94,179.24,55,25
"Markram, A K",Lucknow Super Giants,13,13,0,445,66,0,5,34.23,148.82,38,22
"Sharma, Abhishek",Sunrisers Hyderabad,14,13,0,439,141,1,2,33.77,193.39,46,28
"Sharma, R G",Mumbai Indians,15,15,1,418,81,0,4,29.86,149.28,41,22
"Salt, P D",Royal Challengers Bengaluru,13,13,1,403,65,0,4,33.58,175.98,48,22
"Parag, R",Rajasthan Royals,14,14,2,393,95,0,1,32.75,166.52,27,27
"Rahane, A M",Kolkata Knight Riders,13,12,1,390,61,0,3,35.45,147.72,36,20
"Rickelton, R",Mumbai Indians,14,14,1,388,62*,0,3,29.85,150.97,47,17
