Player,Team,Mat,Overs,Mdns,Runs,Wkts,Avg,Economy Rate,Strike Rate,Four Wicket
"Kamboj, A",Chennai Super Kings,7,24.4,0,221,14,15.79,8.96,10.57,0
"Yadav, Prince",Lucknow Super Giants,7,26.0,0,218,13,16.77,8.38,12.00,0
"Malinga, E",Sunrisers Hyderabad,7,23.0,0,217,12,18.08,9.43,11.50,1
"Krishna, P",Gujarat Titans,6,24.0,0,238,12,19.83,9.92,12.00,1
"Archer, J C",Rajasthan Royals,7,25.0,0,199,11,18.09,7.96,13.64,0
"Bishnoi, R",Rajasthan Royals,7,23.0,0,213,11,19.36,9.26,12.55,1
"Kumar, Bhuvneshwar",Royal Challengers Bengaluru,6,24.0,0,200,10,20.00,8.33,14.40,0
"Rabada, K",Gujarat Titans,6,23.0,0,224,10,22.40,9.74,13.80,0
"Overton, J",Chennai Super Kings,6,17.0,0,157,9,17.44,9.24,11.33,1
"Dubey, H",Sunrisers Hyderabad,6,17.0,0,142,8,17.75,8.35,12.75,0
"Burger, N",Rajasthan Royals,7,22.0,0,186,8,23.25,8.45,16.50,0
"Pandya, K H",Royal Challengers Bengaluru,6,21.0,0,180,8,22.50,8.57,15.75,0
"Ghazanfar, A M",Mumbai Indians,5,16.5,0,145,8,18.13,8.61,12.63,0
"Tyagi, K",Kolkata Knight Riders,7,23.0,0,219,8,27.38,9.52,17.25,0
"Shami, M",Lucknow Super Giants,7,27.0,0,216,7,30.86,8.00,23.14,0
"Ngidi, L",Delhi Capitals,6,23.4,0,206,7,29.43,8.70,20.29,0
"Arora, V",Kolkata Knight Riders,7,24.0,0,264,7,37.71,11.00,20.57,0
"Jadeja, R A",Rajasthan Royals,7,14.0,0,94,6,15.67,6.71,14.00,0
"Narine, S P",Kolkata Knight Riders,6,23.0,0,157,6,26.17,6.83,23.00,0
"Hussain, S",Sunrisers Hyderabad,3,12.0,0,85,6,14.17,7.08,12.00,1
